feature_family,feature_name,aggregation,included_in_ibsi_benchmark,included_in_stability_atlas,exclusion_reason
grey-level co-occurrence,cm_auto_corr,2D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_auto_corr,2D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_auto_corr,2_5D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_auto_corr,2_5D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_auto_corr,3D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_auto_corr,3D_comb,1,1,
grey-level co-occurrence,cm_clust_prom,2D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_prom,2D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_prom,2_5D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_prom,2_5D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_prom,3D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_prom,3D_comb,1,1,
grey-level co-occurrence,cm_clust_shade,2D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_shade,2D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_shade,2_5D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_shade,2_5D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_shade,3D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_shade,3D_comb,1,1,
grey-level co-occurrence,cm_clust_tend,2D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_tend,2D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_tend,2_5D_avg,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
grey-level co-occurrence,cm_clust_tend,2_5D_comb,1,0,non-primary aggregation (atlas uses 3D_comb for directional families)
